title,developer,publisher_na,publisher_eu,release_na,release_eu,img,wiki_link,genre,multi-support
Adventure Island II (NA)The Adventure Island Part II (EU),Now Production,Hudson Soft,Hudson Soft,1991,1992,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Adventure_Island_2_box_art.jpg/220px-Adventure_Island_2_box_art.jpg,https://en.wikipedia.org/wiki/Adventure_Island_II,Platform,False
Adventure Island 3,Now Production,Hudson Soft,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/Adventure_Island_3_Boxart.jpg/220px-Adventure_Island_3_Boxart.jpg,https://en.wikipedia.org/wiki/Adventure_Island_3,"Platform, side-scroller",False
Adventures in the Magic Kingdom,Capcom,Capcom,Capcom,1990,1992,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Adventures_in_the_Magic_Kingdom.png/220px-Adventures_in_the_Magic_Kingdom.png,https://en.wikipedia.org/wiki/Adventures_in_the_Magic_Kingdom,Action,False
The Adventures of Bayou Billy,Konami,Konami,Konami,1989,1991,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Bayou_Billy_box.jpg/220px-Bayou_Billy_box.jpg,https://en.wikipedia.org/wiki/The_Adventures_of_Bayou_Billy,"Beat 'em up, light gun shooter, racing",False
Adventures of Dino Riki,Hudson Soft,Hudson Soft,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/AdventuresofDinoRiki.jpg/220px-AdventuresofDinoRiki.jpg,https://en.wikipedia.org/wiki/Adventures_of_Dino_Riki,Platform/Action,False
The Adventures of Gilligan's Island,Human Entertainment,Bandai,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/GilligansIslandNESBoxArt.jpg/220px-GilligansIslandNESBoxArt.jpg,https://en.wikipedia.org/wiki/The_Adventures_of_Gilligan%27s_Island,Action  Strategy,False
Adventures of Lolo,HAL Laboratory,HAL America,HAL Laboratory,1989,1991,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/BoxArtLolo1%28US%29.jpg/220px-BoxArtLolo1%28US%29.jpg,https://en.wikipedia.org/wiki/Adventures_of_Lolo,"Puzzle, action",False
Adventures of Lolo 2,HAL Laboratory,HAL America,HAL Laboratory,1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Adventures_of_Lolo_2_Cover.png/220px-Adventures_of_Lolo_2_Cover.png,https://en.wikipedia.org/wiki/Adventures_of_Lolo_2,Puzzle,False
Adventures of Lolo 3,HAL Laboratory,HAL America,HAL Laboratory,1991,1992,https://upload.wikimedia.org/wikipedia/en/c/c7/BoxArtLolo3%28US%29.jpg,https://en.wikipedia.org/wiki/Adventures_of_Lolo_3,Puzzle,False
The Adventures of Rad Gravity,Interplay Productions,Activision,Activision,1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Radbox3.jpg/220px-Radbox3.jpg,https://en.wikipedia.org/wiki/The_Adventures_of_Rad_Gravity,Platformer,False
The Adventures of Rocky and Bullwinkle and Friends,Radical Entertainment,THQ,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Adventures_of_Rocky_and_Bullwinkle_NES_box_art.jpg/220px-Adventures_of_Rocky_and_Bullwinkle_NES_box_art.jpg,https://en.wikipedia.org/wiki/The_Adventures_of_Rocky_and_Bullwinkle_and_Friends_(video_game),Platform,False
Adventures of Tom Sawyer,Winkysoft,SETA,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/NES_Adventures_of_Tom_Sawyer_Box.JPG/220px-NES_Adventures_of_Tom_Sawyer_Box.JPG,https://en.wikipedia.org/wiki/The_Adventures_of_Tom_Sawyer_(video_game),Action,True
Air Fortress,HAL Laboratory,HAL America,HAL Laboratory,1989,1989,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Air_Fortress_Cover.png/220px-Air_Fortress_Cover.png,https://en.wikipedia.org/wiki/Air_Fortress,"Horizontally scrolling shooter, Run and gun",False
Airwolf,Beam Software,Acclaim Entertainment,Acclaim Entertainment,1989,1988,https://upload.wikimedia.org/wikipedia/en/0/02/NesAirwolf.jpg,https://en.wikipedia.org/wiki/Airwolf_(NES_video_game),Scrolling shooter,False
Al Unser Jr.'s Turbo Racing (NA)Turbo Racing (EU),Data East,Data East,Data East,1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Al_Unser_Jr.%27s_Turbo_Racing_Coverart.png/220px-Al_Unser_Jr.%27s_Turbo_Racing_Coverart.png,https://en.wikipedia.org/wiki/Al_Unser_Jr.%27s_Turbo_Racing,Racing,False
Alex Demeo's Race America (NA)Corvette ZR-1 Challenge (EU),Imagineering,Absolute Entertainment,Milton Bradley Company,1992,1990,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Race_America_Cover.jpg/220px-Race_America_Cover.jpg,https://en.wikipedia.org/wiki/Race_America,Arcade racing,True
Alfred Chicken,Twilight,Mindscape,Mindscape,1994,1993,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Alfred_Chicken_cover.jpg/220px-Alfred_Chicken_cover.jpg,https://en.wikipedia.org/wiki/Alfred_Chicken,Platform,False
Alien 3,Probe Software,LJN,LJN,1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Alien3_game_cover_art.jpg/220px-Alien3_game_cover_art.jpg,https://en.wikipedia.org/wiki/Alien_3_(video_game),Run and gun,True
All-Pro Basketball,Aicom,Vic Tokai,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/All-Pro_Basketball_Cover.png/220px-All-Pro_Basketball_Cover.png,https://en.wikipedia.org/wiki/All-Pro_Basketball,Traditional basketball with arcade-like elements,True
Alpha Mission,SNK,SNK,SNK,1987,1987,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Alpha_Mission_arcade_flyer.png/220px-Alpha_Mission_arcade_flyer.png,https://en.wikipedia.org/wiki/Alpha_Mission,Scrolling shooter,False
Amagon,Aicom,American Sammy,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Amagon_Cover.png/220px-Amagon_Cover.png,https://en.wikipedia.org/wiki/Amagon,2D action platformer,False
American Gladiators,Incredible Technologies,GameTek,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/American_Gladiators_Coverart.png/220px-American_Gladiators_Coverart.png,https://en.wikipedia.org/wiki/American_Gladiators_(video_game),Sports,True
Anticipation,Rare,Nintendo,Nintendo,1988,1989,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Anticipation_nes.jpg/220px-Anticipation_nes.jpg,https://en.wikipedia.org/wiki/Anticipation_(video_game),Board game,True
Arch Rivals,Rare,Acclaim Entertainment,Acclaim Entertainment,1990,1991,https://upload.wikimedia.org/wikipedia/en/0/0d/Archrival_box.jpg,https://en.wikipedia.org/wiki/Arch_Rivals,Sports ,True
Archon,Bullet-Proof Software,Activision,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Archon_box.png/220px-Archon_box.png,https://en.wikipedia.org/wiki/Archon:_The_Light_and_the_Dark,"Strategy, action",True
Arkanoid,Taito,Taito,Unreleased,1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/Arkanoid_arcadeflyer.png/220px-Arkanoid_arcadeflyer.png,https://en.wikipedia.org/wiki/Arkanoid,Block breaker,True
Arkista's Ring,NMK,American Sammy,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/NES_Arkistas_Ring.jpg/220px-NES_Arkistas_Ring.jpg,https://en.wikipedia.org/wiki/Arkista%27s_Ring,Action-adventure,False
Asterix,Bit Managers,Unreleased,Infogrames,Unreleased,1993,https://upload.wikimedia.org/wikipedia/en/f/fb/Asterix_NES.jpg,https://en.wikipedia.org/wiki/Asterix_(1993_video_game),2D action platformer,False
Astyanax,Aicom,Jaleco,Jaleco,1990,1990,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/The_Astyanax_arcade_flyer.jpg/220px-The_Astyanax_arcade_flyer.jpg,https://en.wikipedia.org/wiki/The_Astyanax,Platform,True
Athena,Micronics,SNK,Unreleased,1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Athena_game_flyer.png/220px-Athena_game_flyer.png,https://en.wikipedia.org/wiki/Athena_(video_game),Platform,False
Athletic World,Human Entertainment,Bandai,Nintendo,1987,1988,,https://en.wikipedia.org/wiki/Power_Pad,,False
Attack of the Killer Tomatoes,Imagineering,THQ,THQ,1992,1991,https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Attack_of_the_Killer_Tomatoes_%281991%29_Coverart.png/220px-Attack_of_the_Killer_Tomatoes_%281991%29_Coverart.png,https://en.wikipedia.org/wiki/Attack_of_the_Killer_Tomatoes_(1991_video_game),Platform,False
Aussie Rules Footy,Beam Software,Unreleased,Laser Beam Entertainment,Unreleased,1991,https://upload.wikimedia.org/wikipedia/en/c/ca/Aussie_Rules_Footy_cover_art.jpg,https://en.wikipedia.org/wiki/Aussie_Rules_Footy,Sport,True
Back to the Future,Beam Software,LJN,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/BackToTheFutureNESBoxart.jpg/220px-BackToTheFutureNESBoxart.jpg,https://en.wikipedia.org/wiki/Back_to_the_Future_(1989_video_game),Arcade adventure,False
Back to the Future Part II & III,Beam Software,LJN,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/BTTFIIandIII.jpg/220px-BTTFIIandIII.jpg,https://en.wikipedia.org/wiki/Back_to_the_Future_Part_II_%26_III,Platform  Action-adventure  Puzzle,False
Bad Dudes (NA)Bad Dudes vs. DragonNinja (EU),Data East,Data East,Ocean Software,1989,1990,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Bad_Dudes_DragonNinja_arcadeflyer.png/220px-Bad_Dudes_DragonNinja_arcadeflyer.png,https://en.wikipedia.org/wiki/Bad_Dudes,Beat 'em up,True
Bad News Baseball,Tecmo,Tecmo,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Bad_News_Baseball_Coverart.png/220px-Bad_News_Baseball_Coverart.png,https://en.wikipedia.org/wiki/Bad_News_Baseball,Sports,True
Bad Street Brawler,Beam Software,Mattel,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/Bad_Street_Brawler_cover.png/220px-Bad_Street_Brawler_cover.png,https://en.wikipedia.org/wiki/Bad_Street_Brawler,Beat 'em up,False
Balloon Fight,Nintendo Research & Development 1,Nintendo,Nintendo,1986,1986,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/BalloonFightnesboxart.jpg/220px-BalloonFightnesboxart.jpg,https://en.wikipedia.org/wiki/Balloon_Fight,Action,False
Banana Prince,KID,Unreleased,Takara,Unreleased,1992,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Nintendo_Entertainment_System_Banana_Prince_cover_art.png/220px-Nintendo_Entertainment_System_Banana_Prince_cover_art.png,https://en.wikipedia.org/wiki/Banana_Prince,Platform,False
Bandai Golf: Challenge Pebble Beach,TOSE,Bandai,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Bandai_Golf_-_Challenge_Pebble_Beach_game_cover_art.jpg/220px-Bandai_Golf_-_Challenge_Pebble_Beach_game_cover_art.jpg,https://en.wikipedia.org/wiki/Bandai_Golf:_Challenge_Pebble_Beach,Traditional golf simulation,True
Bandit Kings of Ancient China,Koei,Koei,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Bandit_Kings_of_Ancient_China_cover_art.jpg/220px-Bandit_Kings_of_Ancient_China_cover_art.jpg,https://en.wikipedia.org/wiki/Bandit_Kings_of_Ancient_China,Turn-based strategy,True
Barbie,Imagineering,Hi Tech Expressions,Hi Tech Expressions,1991,1992,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Barbie_NES_box_art.jpg/220px-Barbie_NES_box_art.jpg,https://en.wikipedia.org/wiki/Barbie_(1991_video_game),Platform,False
The Bard's Tale,Atelier Double,FCI,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/5a/Bard%27s_Tale_Box_Cover.jpg/220px-Bard%27s_Tale_Box_Cover.jpg,https://en.wikipedia.org/wiki/The_Bard%27s_Tale_(1985_video_game),Role-playing,False
Barker Bill's Trick Shooting,Nintendo Research & Development 1,Nintendo,Nintendo,1990,1991,https://upload.wikimedia.org/wikipedia/en/1/13/BB_TS_NES.PNG,https://en.wikipedia.org/wiki/Barker_Bill%27s_Trick_Shooting,Shooting,False
Base Wars,Konami,Ultra Games,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Base_Wars_cover.jpg/220px-Base_Wars_cover.jpg,https://en.wikipedia.org/wiki/Base_Wars,Sports,True
Baseball,Nintendo Research & Development 1,Nintendo,Nintendo,1985,1986,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/Baseball_NES_box_art.jpg/220px-Baseball_NES_box_art.jpg,https://en.wikipedia.org/wiki/Baseball_(1983_video_game),Sports,True
Baseball Simulator 1.000,Culture Brain,Culture Brain,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/7/7c/BaseballSimulatorNESBoxart.jpg,https://en.wikipedia.org/wiki/Baseball_Simulator_1.000,Baseball,True
Baseball Stars,SNK,SNK,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/BaseballStarsNESCover.jpg/220px-BaseballStarsNESCover.jpg,https://en.wikipedia.org/wiki/Baseball_Stars,Sports,True
Baseball Stars 2,Pixel,Romstar,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Baseball_Stars_2_arcade_flyer.jpg/220px-Baseball_Stars_2_arcade_flyer.jpg,https://en.wikipedia.org/wiki/Baseball_Stars_2,Sports,True
Bases Loaded,TOSE,Jaleco,Unreleased,1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/NES_Bases_Loaded_cover_art.jpg/220px-NES_Bases_Loaded_cover_art.jpg,https://en.wikipedia.org/wiki/Bases_Loaded_(video_game),Sports: Baseball,True
Bases Loaded II: Second Season,TOSE,Jaleco,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Bases_Loaded_2_box_art.jpg/220px-Bases_Loaded_2_box_art.jpg,https://en.wikipedia.org/wiki/Bases_Loaded_II:_Second_Season,Sports game,True
Bases Loaded 3,TOSE,Jaleco,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/a/a7/Bases_Loaded_3_box_art.jpg,https://en.wikipedia.org/wiki/Bases_Loaded_3,Traditional baseball simulation,True
Bases Loaded 4,TOSE,Jaleco,Unreleased,1993,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Basesloaded4.jpg/220px-Basesloaded4.jpg,https://en.wikipedia.org/wiki/Bases_Loaded_4,Sports video games,True
Batman: The Video Game,Sunsoft,Sunsoft,Sunsoft,1990,1990,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Batman_The_Video_Game_NES_NA_Cover.jpg/220px-Batman_The_Video_Game_NES_NA_Cover.jpg,https://en.wikipedia.org/wiki/Batman_(Nintendo_Entertainment_System),Platform game,False
Batman: Return of the Joker,Sunsoft,Sunsoft,Sunsoft,1991,1992,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Batman_Return_of_the_Joker_NES.jpg/220px-Batman_Return_of_the_Joker_NES.jpg,https://en.wikipedia.org/wiki/Batman:_Return_of_the_Joker,Action,False
Batman Returns,Konami,Konami,Konami,1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/BatmanReturnsCoverart.jpg/220px-BatmanReturnsCoverart.jpg,https://en.wikipedia.org/wiki/Batman_Returns_(video_game),"Action, platform Vehicular combat Beat 'em up Adventure ",False
Battle Chess,Beam Software,Data East,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Battle_Chess.png/220px-Battle_Chess.png,https://en.wikipedia.org/wiki/Battle_Chess,Chess,True
The Battle of Olympus,Infinity,Brøderbund,Nintendo,1989,1991,https://upload.wikimedia.org/wikipedia/en/7/7c/Battle_of_olympus.jpg,https://en.wikipedia.org/wiki/The_Battle_of_Olympus,Action-adventure,False
Battle Tank,Imagineering,Absolute Entertainment,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Battle_Tank_cover.png/220px-Battle_Tank_cover.png,https://en.wikipedia.org/wiki/Battle_Tank_(video_game),Tank simulation,False
Battleship,Mindscape,Mindscape,Mindscape,1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Battleship_NES_cover.jpg/220px-Battleship_NES_cover.jpg,https://en.wikipedia.org/wiki/Battleship_(1993_video_game),Turn-based strategy,False
Battletoads,Rare,Tradewest,Tradewest,1991,1993,https://upload.wikimedia.org/wikipedia/en/thumb/e/e8/Battletoads_Coverart.png/220px-Battletoads_Coverart.png,https://en.wikipedia.org/wiki/Battletoads_(1991_video_game),"Beat 'em up, platformer",True
Battletoads & Double Dragon,Rare,Tradewest,Nintendo,1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/BattleToadsDoubleDragon.jpg/220px-BattleToadsDoubleDragon.jpg,https://en.wikipedia.org/wiki/Battletoads_%26_Double_Dragon,Beat 'em up,True
Beetlejuice,Rare,LJN,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Beetlejuice_MS-DOS_cover.jpg/220px-Beetlejuice_MS-DOS_cover.jpg,https://en.wikipedia.org/wiki/Beetlejuice_(1991_video_game),2D action platformer,False
Best of the Best: Championship Karate,Movie Software,Electro Brain,Loriciel,1992,1993,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Best_of_the_Best_Championship_Karate_cover.jpg/220px-Best_of_the_Best_Championship_Karate_cover.jpg,https://en.wikipedia.org/wiki/Best_of_the_Best:_Championship_Karate,Fighting,True
Bigfoot,Beam Software,Acclaim Entertainment,Acclaim Entertainment,1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/BigfootBoxart.jpg/220px-BigfootBoxart.jpg,https://en.wikipedia.org/wiki/BigFoot_(video_game),Racing,False
Bill & Ted's Excellent Video Game Adventure,Rocket Science Productions,LJN,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Bill_Ted_VG.jpg/220px-Bill_Ted_VG.jpg,https://en.wikipedia.org/wiki/Bill_%26_Ted%27s_Excellent_Video_Game_Adventure,Action-adventure,False
Bill Elliott's NASCAR Challenge,Distinctive Software,Konami,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Bill_Elliott%27s_NASCAR_Challenge_cover.jpg/220px-Bill_Elliott%27s_NASCAR_Challenge_cover.jpg,https://en.wikipedia.org/wiki/Bill_Elliott%27s_NASCAR_Challenge,Racing,False
Bionic Commando,Capcom,Capcom,Capcom,1988,1990,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/BionicCommando.jpg/220px-BionicCommando.jpg,https://en.wikipedia.org/wiki/Bionic_Commando_(Nintendo_Entertainment_System),Platform,False
The Black Bass,Another,Hot-B,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/7/70/TheBlackBassUSA_NESfrontcover.png,https://en.wikipedia.org/wiki/The_Black_Bass_(NES_video_game),Fishing,False
Blades of Steel,Konami,Konami,Konami,1988,1990,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Blades_of_Steel_cover.png/220px-Blades_of_Steel_cover.png,https://en.wikipedia.org/wiki/Blades_of_Steel,Sports,True
Blaster Master,Sunsoft,Sunsoft,Sunsoft,1988,1991,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Blaster_Master_boxart.jpg/220px-Blaster_Master_boxart.jpg,https://en.wikipedia.org/wiki/Blaster_Master_(video_game),"Platform, run and gun, Metroidvania",False
The Blue Marlin,Hot-B,Hot-B,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/The_blue_marlin_nes_box_art.jpg/220px-The_blue_marlin_nes_box_art.jpg,https://en.wikipedia.org/wiki/The_Blue_Marlin,Fishing,False
The Blues Brothers,Titus Software,Titus Software,Titus Software,1992,1992,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/The_Blues_Brothers_%28video_game%29_intro_screen.png/220px-The_Blues_Brothers_%28video_game%29_intro_screen.png,https://en.wikipedia.org/wiki/The_Blues_Brothers_(video_game),Platform,True
Bo Jackson Baseball,Beam Software,Data East,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Bo_Jackson_Baseball_Coverart.png/220px-Bo_Jackson_Baseball_Coverart.png,https://en.wikipedia.org/wiki/Bo_Jackson_Baseball,Sports,True
Bomberman,Hudson Soft,Hudson Soft,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/BombermanCover.jpg/220px-BombermanCover.jpg,https://en.wikipedia.org/wiki/Bomberman_(1983_video_game),"Arcade, maze, strategy",False
Bomberman II (NA)Dynablaster (EU),Hudson Soft,Hudson Soft,Hudson Soft,1993,1991,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Bomberman2Cover.jpg/220px-Bomberman2Cover.jpg,https://en.wikipedia.org/wiki/Bomberman_II,"Puzzle, maze",True
Bonk's Adventure,AI,Hudson Soft,Unreleased,1994,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Bonkadventure.jpg/220px-Bonkadventure.jpg,https://en.wikipedia.org/wiki/Bonk%27s_Adventure,Platform,False
Boulder Dash,"Data East, Sakata SAS",JVC Musical Industries,Nintendo,1990,1990,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Boulder_Dash_Original_Cover_Art.jpg/220px-Boulder_Dash_Original_Cover_Art.jpg,https://en.wikipedia.org/wiki/Boulder_Dash,Puzzle  Maze,False
A Boy and His Blob: Trouble on Blobolonia,Imagineering,Absolute Entertainment,Nintendo,1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/A_Boy_and_His_Blob_%28cover_artwork%29.jpg/220px-A_Boy_and_His_Blob_%28cover_artwork%29.jpg,https://en.wikipedia.org/wiki/A_Boy_and_His_Blob:_Trouble_on_Blobolonia,Puzzle-platform,False
Bram Stoker's Dracula,Probe Software,Sony Imagesoft,Sony Imagesoft,1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/DraculaSNES_boxart.jpg/220px-DraculaSNES_boxart.jpg,https://en.wikipedia.org/wiki/Bram_Stoker%27s_Dracula_(video_game),"Vampire video game, First-person shooter",False
Break Time: The National Pool Tour,Opera House,FCI,Unreleased,1993,Unreleased,https://upload.wikimedia.org/wikipedia/en/0/0e/Breaktimethenationalpooltour.jpg,https://en.wikipedia.org/wiki/Break_Time:_The_National_Pool_Tour,Sports,True
BreakThru,Data East,Data East,Unreleased,1987,Unreleased,https://www.mobygames.com/images/covers/l/518954-breakthru-nintendo-switch-front-cover.png,https://www.mobygames.com/game/breakthru_,"Racing, Action",False
