title,wiki_link,developer,publisher_na,publisher_eu,release_na,release_eu,img,genre,mode
Advanced Dungeons & Dragons: Heroes of the Lance,https://en.wikipedia.org/wiki/Advanced_Dungeons_%26_Dragons:_Heroes_of_the_Lance,Natsume,FCI,Unreleased,January 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Advanced_Dungeons_%26_Dragons_Heroes_of_the_Lance_Cover.png/220px-Advanced_Dungeons_%26_Dragons_Heroes_of_the_Lance_Cover.png,Action-adventure game,Single-player
Advanced Dungeons & Dragons: Hillsfar,https://en.wikipedia.org/wiki/Hillsfar,Crosstalk,FCI,Unreleased,February 1993,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Hillsfar_Coverart.png/220px-Hillsfar_Coverart.png,Role-playing video game,Single player
Advanced Dungeons & Dragons: Pool of Radiance,https://en.wikipedia.org/wiki/Pool_of_Radiance,"Marionette, SRS",FCI,Unreleased,April 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Pool_of_Radiance_Coverart.png/220px-Pool_of_Radiance_Coverart.png,"Role-playing video game, Tactical RPG",Single-player
Adventure Island (NA)Adventure Island Classic (EU)Adventure Island Classic in the Pacific (FR),https://en.wikipedia.org/wiki/Adventure_Island_(video_game),Hudson Soft,Hudson Soft,Hudson Soft,September 1988,1992,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Adventureisland.jpg/220px-Adventureisland.jpg,Platform,Single-player
Adventure Island II (NA)The Adventure Island Part II (EU),https://en.wikipedia.org/wiki/Adventure_Island_II,Now Production,Hudson Soft,Hudson Soft,February 1991,"July 22, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Adventure_Island_2_box_art.jpg/220px-Adventure_Island_2_box_art.jpg,Platform,Single-player
Adventure Island 3,https://en.wikipedia.org/wiki/Adventure_Island_3,Now Production,Hudson Soft,Unreleased,September 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/Adventure_Island_3_Boxart.jpg/220px-Adventure_Island_3_Boxart.jpg,"Platform, side-scroller",Single-player
Adventures in the Magic Kingdom,https://en.wikipedia.org/wiki/Adventures_in_the_Magic_Kingdom,Capcom,Capcom,Capcom,June 1990,"December 10, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Adventures_in_the_Magic_Kingdom.png/220px-Adventures_in_the_Magic_Kingdom.png,Action,Single-player
The Adventures of Bayou Billy,https://en.wikipedia.org/wiki/The_Adventures_of_Bayou_Billy,Konami,Konami,Konami,June 1989,"January 24, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Bayou_Billy_box.jpg/220px-Bayou_Billy_box.jpg,"Beat 'em up, light gun shooter, racing",Single-player
Adventures of Dino Riki,https://en.wikipedia.org/wiki/Adventures_of_Dino_Riki,Hudson Soft,Hudson Soft,Unreleased,September 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/AdventuresofDinoRiki.jpg/220px-AdventuresofDinoRiki.jpg,Platform/Action,Single player
The Adventures of Gilligan's Island,https://en.wikipedia.org/wiki/The_Adventures_of_Gilligan%27s_Island,Human Entertainment,Bandai,Unreleased,July 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/GilligansIslandNESBoxArt.jpg/220px-GilligansIslandNESBoxArt.jpg,Action[1]  Strategy,Single-player
Adventures of Lolo,https://en.wikipedia.org/wiki/Adventures_of_Lolo,HAL Laboratory,HAL America,HAL Laboratory,April 1989,"February 21, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/BoxArtLolo1%28US%29.jpg/220px-BoxArtLolo1%28US%29.jpg,"Puzzle, action",Single-player
Adventures of Lolo 2,https://en.wikipedia.org/wiki/Adventures_of_Lolo_2,HAL Laboratory,HAL America,HAL Laboratory,March 1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Adventures_of_Lolo_2_Cover.png/220px-Adventures_of_Lolo_2_Cover.png,Puzzle,Single-player
Adventures of Lolo 3,https://en.wikipedia.org/wiki/Adventures_of_Lolo_3,HAL Laboratory,HAL America,HAL Laboratory,"November 21, 1991","May 27, 1992",https://upload.wikimedia.org/wikipedia/en/c/c7/BoxArtLolo3%28US%29.jpg,Puzzle,Single-player
The Adventures of Rad Gravity,https://en.wikipedia.org/wiki/The_Adventures_of_Rad_Gravity,Interplay Productions,Activision,Activision,December 1990,"May 30, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Radbox3.jpg/220px-Radbox3.jpg,Platformer,Single-player
The Adventures of Rocky and Bullwinkle and Friends,https://en.wikipedia.org/wiki/The_Adventures_of_Rocky_and_Bullwinkle_and_Friends_(video_game),Radical Entertainment,THQ,Unreleased,December 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Adventures_of_Rocky_and_Bullwinkle_NES_box_art.jpg/220px-Adventures_of_Rocky_and_Bullwinkle_NES_box_art.jpg,Platform,Single-player
Adventures of Tom Sawyer,https://en.wikipedia.org/wiki/The_Adventures_of_Tom_Sawyer_(video_game),Winkysoft,SETA,Unreleased,August 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/NES_Adventures_of_Tom_Sawyer_Box.JPG/220px-NES_Adventures_of_Tom_Sawyer_Box.JPG,Action,"Single-player, multiplayer"
Air Fortress,https://en.wikipedia.org/wiki/Air_Fortress,HAL Laboratory,HAL America,HAL Laboratory,September 1989,1989,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Air_Fortress_Cover.png/220px-Air_Fortress_Cover.png,"Horizontally scrolling shooter, Run and gun",Single-player
Airwolf,https://en.wikipedia.org/wiki/Airwolf_(NES_video_game),Beam Software,Acclaim Entertainment,Acclaim Entertainment,June 1989,August 1988,https://upload.wikimedia.org/wikipedia/en/0/02/NesAirwolf.jpg,Scrolling shooter,Single-player
Al Unser Jr.'s Turbo Racing (NA)Turbo Racing (EU),https://en.wikipedia.org/wiki/Al_Unser_Jr.%27s_Turbo_Racing,Data East,Data East,Data East,March 1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Al_Unser_Jr.%27s_Turbo_Racing_Coverart.png/220px-Al_Unser_Jr.%27s_Turbo_Racing_Coverart.png,Racing,Single-player
Alex Demeo's Race America (NA)Corvette ZR-1 Challenge (EU),https://en.wikipedia.org/wiki/Race_America,Imagineering,Absolute Entertainment,Milton Bradley Company,May 1992,1990,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Race_America_Cover.jpg/220px-Race_America_Cover.jpg,Arcade racing[1],Single-player[2]  Multiplayer[2]
Alfred Chicken,https://en.wikipedia.org/wiki/Alfred_Chicken,Twilight,Mindscape,Mindscape,February 1994,1993,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Alfred_Chicken_cover.jpg/220px-Alfred_Chicken_cover.jpg,Platform,Single-player
Alien 3,https://en.wikipedia.org/wiki/Alien_3_(video_game),Probe Software,LJN,LJN,March 1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Alien3_game_cover_art.jpg/220px-Alien3_game_cover_art.jpg,Run and gun,Single playerMultiplayer (Master System version)
All-Pro Basketball,https://en.wikipedia.org/wiki/All-Pro_Basketball,Aicom,Vic Tokai,Unreleased,December 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/All-Pro_Basketball_Cover.png/220px-All-Pro_Basketball_Cover.png,Traditional basketball with arcade-like elements[1],Single-player  Multiplayer
Alpha Mission,https://en.wikipedia.org/wiki/Alpha_Mission,SNK,SNK,SNK,October 1987,1987,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Alpha_Mission_arcade_flyer.png/220px-Alpha_Mission_arcade_flyer.png,Scrolling shooter,Single-player
Amagon,https://en.wikipedia.org/wiki/Amagon,Aicom,American Sammy,Unreleased,April 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Amagon_Cover.png/220px-Amagon_Cover.png,2D action platformer,Single-player
American Gladiators,https://en.wikipedia.org/wiki/American_Gladiators_(video_game),Incredible Technologies,GameTek,Unreleased,October 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/American_Gladiators_Coverart.png/220px-American_Gladiators_Coverart.png,Sports,"Single-player, Multiplayer"
Anticipation,https://en.wikipedia.org/wiki/Anticipation_(video_game),Rare,Nintendo,Nintendo,November 1988,"October 25, 1989",https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Anticipation_nes.jpg/220px-Anticipation_nes.jpg,Board game,"Single-player, multiplayer"
Arch Rivals,https://en.wikipedia.org/wiki/Arch_Rivals,Rare,Acclaim Entertainment,Acclaim Entertainment,November 1990,1991,https://upload.wikimedia.org/wikipedia/en/0/0d/Archrival_box.jpg,Sports (basketball),Single-player  Multiplayer
Archon,https://en.wikipedia.org/wiki/Archon:_The_Light_and_the_Dark,Bullet-Proof Software,Activision,Unreleased,December 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Archon_box.png/220px-Archon_box.png,"Strategy, action","Single player, Two-player"
Arkanoid,https://en.wikipedia.org/wiki/Arkanoid,Taito,Taito,Unreleased,August 1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/Arkanoid_arcadeflyer.png/220px-Arkanoid_arcadeflyer.png,Block breaker,"Single-player, 2 player alternating"
Arkista's Ring,https://en.wikipedia.org/wiki/Arkista%27s_Ring,NMK,American Sammy,Unreleased,June 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/NES_Arkistas_Ring.jpg/220px-NES_Arkistas_Ring.jpg,Action-adventure,Single-player
Asterix,https://en.wikipedia.org/wiki/Asterix_(1993_video_game),Bit Managers,Unreleased,Infogrames,Unreleased,1993,https://upload.wikimedia.org/wikipedia/en/f/fb/Asterix_NES.jpg,2D action platformer[2],Single-player
Astyanax,https://en.wikipedia.org/wiki/The_Astyanax,Aicom,Jaleco,Jaleco,March 1990,1990,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/The_Astyanax_arcade_flyer.jpg/220px-The_Astyanax_arcade_flyer.jpg,Platform,2-players cooperative (arcade)1-player (NES)
Athena,https://en.wikipedia.org/wiki/Athena_(video_game),Micronics,SNK,Unreleased,August 1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Athena_game_flyer.png/220px-Athena_game_flyer.png,Platform,Single-player
Athletic World,https://en.wikipedia.org/wiki/Power_Pad,Human Entertainment,Bandai,Nintendo,July 1987,"June 15, 1988",,,
Attack of the Killer Tomatoes,https://en.wikipedia.org/wiki/Attack_of_the_Killer_Tomatoes_(1991_video_game),Imagineering,THQ,THQ,January 1992,1991,https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Attack_of_the_Killer_Tomatoes_%281991%29_Coverart.png/220px-Attack_of_the_Killer_Tomatoes_%281991%29_Coverart.png,Platform,Single-player
Aussie Rules Footy,https://en.wikipedia.org/wiki/Aussie_Rules_Footy,Beam Software,Unreleased,Laser Beam Entertainment,Unreleased,1991,https://upload.wikimedia.org/wikipedia/en/c/ca/Aussie_Rules_Footy_cover_art.jpg,Sport,"Single-player, Multiplayer"
Back to the Future,https://en.wikipedia.org/wiki/Back_to_the_Future_(1989_video_game),Beam Software,LJN,Unreleased,September 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/BackToTheFutureNESBoxart.jpg/220px-BackToTheFutureNESBoxart.jpg,Arcade adventure,Single-player
Back to the Future Part II & III,https://en.wikipedia.org/wiki/Back_to_the_Future_Part_II_%26_III,Beam Software,LJN,Unreleased,September 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/BTTFIIandIII.jpg/220px-BTTFIIandIII.jpg,Platform  Action-adventure  Puzzle,Single-player
Bad Dudes (NA)Bad Dudes vs. DragonNinja (EU),https://en.wikipedia.org/wiki/Bad_Dudes,Data East,Data East,Ocean Software,August 1989,1990,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Bad_Dudes_DragonNinja_arcadeflyer.png/220px-Bad_Dudes_DragonNinja_arcadeflyer.png,Beat 'em up,"Single-player, multiplayer (co-operative gameplay)"
Bad News Baseball,https://en.wikipedia.org/wiki/Bad_News_Baseball,Tecmo,Tecmo,Unreleased,June 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Bad_News_Baseball_Coverart.png/220px-Bad_News_Baseball_Coverart.png,Sports,"Single-player, multiplayer"
Bad Street Brawler,https://en.wikipedia.org/wiki/Bad_Street_Brawler,Beam Software,Mattel,Unreleased,September 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/Bad_Street_Brawler_cover.png/220px-Bad_Street_Brawler_cover.png,Beat 'em up,Single-player
Balloon Fight,https://en.wikipedia.org/wiki/Balloon_Fight,Nintendo Research & Development 1,Nintendo,Nintendo,"June 18, 1986","December 15, 1986",https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/BalloonFightnesboxart.jpg/220px-BalloonFightnesboxart.jpg,Action,Single-player
Banana Prince,https://en.wikipedia.org/wiki/Banana_Prince,KID,Unreleased,Takara,Unreleased,February 1992,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Nintendo_Entertainment_System_Banana_Prince_cover_art.png/220px-Nintendo_Entertainment_System_Banana_Prince_cover_art.png,Platform,Single-player
Bandai Golf: Challenge Pebble Beach,https://en.wikipedia.org/wiki/Bandai_Golf:_Challenge_Pebble_Beach,TOSE,Bandai,Unreleased,February 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Bandai_Golf_-_Challenge_Pebble_Beach_game_cover_art.jpg/220px-Bandai_Golf_-_Challenge_Pebble_Beach_game_cover_art.jpg,Traditional golf simulation[1][2],"Single-player,[2] multiplayer"
Bandit Kings of Ancient China,https://en.wikipedia.org/wiki/Bandit_Kings_of_Ancient_China,Koei,Koei,Unreleased,December 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Bandit_Kings_of_Ancient_China_cover_art.jpg/220px-Bandit_Kings_of_Ancient_China_cover_art.jpg,Turn-based strategy,"Single-player, hotseat multiplayer"
Barbie,https://en.wikipedia.org/wiki/Barbie_(1991_video_game),Imagineering,Hi Tech Expressions,Hi Tech Expressions,December 1991,1992,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Barbie_NES_box_art.jpg/220px-Barbie_NES_box_art.jpg,Platform,Single-player
The Bard's Tale,https://en.wikipedia.org/wiki/The_Bard%27s_Tale_(1985_video_game),Atelier Double,FCI,Unreleased,November 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/5a/Bard%27s_Tale_Box_Cover.jpg/220px-Bard%27s_Tale_Box_Cover.jpg,Role-playing,Single-player
Barker Bill's Trick Shooting,https://en.wikipedia.org/wiki/Barker_Bill%27s_Trick_Shooting,Nintendo Research & Development 1,Nintendo,Nintendo,August 1990,"June 27, 1991",https://upload.wikimedia.org/wikipedia/en/1/13/BB_TS_NES.PNG,Shooting,Single-player
Base Wars,https://en.wikipedia.org/wiki/Base_Wars,Konami,Ultra Games,Unreleased,June 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Base_Wars_cover.jpg/220px-Base_Wars_cover.jpg,Sports,"
Single-player
multiplayer
"
Baseball,https://en.wikipedia.org/wiki/Baseball_(1983_video_game),Nintendo Research & Development 1,Nintendo,Nintendo,"October 18, 1985","September 1, 1986",https://upload.wikimedia.org/wikipedia/en/thumb/6/64/Baseball_NES_box_art.jpg/220px-Baseball_NES_box_art.jpg,Sports,"Single-player, two-player"
Baseball Simulator 1.000,https://en.wikipedia.org/wiki/Baseball_Simulator_1.000,Culture Brain,Culture Brain,Unreleased,March 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/7/7c/BaseballSimulatorNESBoxart.jpg,Baseball,"Single-player, multiplayer"
Baseball Stars,https://en.wikipedia.org/wiki/Baseball_Stars,SNK,SNK,Unreleased,July 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/BaseballStarsNESCover.jpg/220px-BaseballStarsNESCover.jpg,Sports,"Single-player, multiplayer"
Baseball Stars 2,https://en.wikipedia.org/wiki/Baseball_Stars_2,Pixel,Romstar,Unreleased,July 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Baseball_Stars_2_arcade_flyer.jpg/220px-Baseball_Stars_2_arcade_flyer.jpg,Sports,"
Single-player
Multiplayer
"
Bases Loaded,https://en.wikipedia.org/wiki/Bases_Loaded_(video_game),TOSE,Jaleco,Unreleased,July 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/NES_Bases_Loaded_cover_art.jpg/220px-NES_Bases_Loaded_cover_art.jpg,Sports: Baseball,"Single-player, Multiplayer"
Bases Loaded II: Second Season,https://en.wikipedia.org/wiki/Bases_Loaded_II:_Second_Season,TOSE,Jaleco,Unreleased,January 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Bases_Loaded_2_box_art.jpg/220px-Bases_Loaded_2_box_art.jpg,Sports game,Single-player  Multiplayer video game
Bases Loaded 3,https://en.wikipedia.org/wiki/Bases_Loaded_3,TOSE,Jaleco,Unreleased,September 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/a/a7/Bases_Loaded_3_box_art.jpg,Traditional baseball simulation,Single-player  Multiplayer
Bases Loaded 4,https://en.wikipedia.org/wiki/Bases_Loaded_4,TOSE,Jaleco,Unreleased,April 1993,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Basesloaded4.jpg/220px-Basesloaded4.jpg,Sports video games,"Single-player, Multiplayer"
Batman: The Video Game,https://en.wikipedia.org/wiki/Batman_(Nintendo_Entertainment_System),Sunsoft,Sunsoft,Sunsoft,February 1990,"September 14, 1990",https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Batman_The_Video_Game_NES_NA_Cover.jpg/220px-Batman_The_Video_Game_NES_NA_Cover.jpg,Platform game,Single-player
Batman: Return of the Joker,https://en.wikipedia.org/wiki/Batman:_Return_of_the_Joker,Sunsoft,Sunsoft,Sunsoft,December 1991,"November 19, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Batman_Return_of_the_Joker_NES.jpg/220px-Batman_Return_of_the_Joker_NES.jpg,Action,Single-player
Batman Returns,https://en.wikipedia.org/wiki/Batman_Returns_(video_game),Konami,Konami,Konami,January 1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/BatmanReturnsCoverart.jpg/220px-BatmanReturnsCoverart.jpg,"Action, platform (Game Gear, Master System, Genesis)Vehicular combat (Sega CD)Beat 'em up (NES, SNES, Lynx,  Amiga, handheld Tiger games)Adventure (DOS)",Single-player
Battle Chess,https://en.wikipedia.org/wiki/Battle_Chess,Beam Software,Data East,Unreleased,July 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Battle_Chess.png/220px-Battle_Chess.png,Chess,"Single player, Multiplayer"
The Battle of Olympus,https://en.wikipedia.org/wiki/The_Battle_of_Olympus,Infinity,Brøderbund,Nintendo,December 1989,"September 26, 1991",https://upload.wikimedia.org/wikipedia/en/7/7c/Battle_of_olympus.jpg,Action-adventure,Single-player
Battle Tank,https://en.wikipedia.org/wiki/Battle_Tank_(video_game),Imagineering,Absolute Entertainment,Unreleased,September 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Battle_Tank_cover.png/220px-Battle_Tank_cover.png,Tank simulation[2],Single-player[3]
Battleship,https://en.wikipedia.org/wiki/Battleship_(1993_video_game),Mindscape,Mindscape,Mindscape,September 1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Battleship_NES_cover.jpg/220px-Battleship_NES_cover.jpg,Turn-based strategy,Single-player
Battletoads,https://en.wikipedia.org/wiki/Battletoads_(1991_video_game),Rare,Tradewest,Tradewest,June 1991,"February 18, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/e/e8/Battletoads_Coverart.png/220px-Battletoads_Coverart.png,"Beat 'em up, platformer","Single player, multiplayer"
Battletoads & Double Dragon,https://en.wikipedia.org/wiki/Battletoads_%26_Double_Dragon,Rare,Tradewest,Nintendo,June 1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/BattleToadsDoubleDragon.jpg/220px-BattleToadsDoubleDragon.jpg,Beat 'em up,"Single-player, multiplayer (except on the Game Boy)"
Beetlejuice,https://en.wikipedia.org/wiki/Beetlejuice_(1991_video_game),Rare,LJN,Unreleased,May 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Beetlejuice_MS-DOS_cover.jpg/220px-Beetlejuice_MS-DOS_cover.jpg,2D action platformer,Single-player
Best of the Best: Championship Karate,https://en.wikipedia.org/wiki/Best_of_the_Best:_Championship_Karate,Movie Software,Electro Brain,Loriciel,December 1992,1993,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Best_of_the_Best_Championship_Karate_cover.jpg/220px-Best_of_the_Best_Championship_Karate_cover.jpg,Fighting,"Single-player, multiplayer"
Bigfoot,https://en.wikipedia.org/wiki/BigFoot_(video_game),Beam Software,Acclaim Entertainment,Acclaim Entertainment,August 1990,"January 24, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/BigfootBoxart.jpg/220px-BigfootBoxart.jpg,Racing,Single-player
Bill & Ted's Excellent Video Game Adventure,https://en.wikipedia.org/wiki/Bill_%26_Ted%27s_Excellent_Video_Game_Adventure,Rocket Science Productions,LJN,Unreleased,August 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Bill_Ted_VG.jpg/220px-Bill_Ted_VG.jpg,Action-adventure,Single-player
Bill Elliott's NASCAR Challenge,https://en.wikipedia.org/wiki/Bill_Elliott%27s_NASCAR_Challenge,Distinctive Software,Konami,Unreleased,December 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Bill_Elliott%27s_NASCAR_Challenge_cover.jpg/220px-Bill_Elliott%27s_NASCAR_Challenge_cover.jpg,Racing,Single-player
Bionic Commando,https://en.wikipedia.org/wiki/Bionic_Commando_(Nintendo_Entertainment_System),Capcom,Capcom,Capcom,December 1988,"October 26, 1990",https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/BionicCommando.jpg/220px-BionicCommando.jpg,Platform,Single-player
The Black Bass,https://en.wikipedia.org/wiki/The_Black_Bass_(NES_video_game),Another,Hot-B,Unreleased,September 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/7/70/TheBlackBassUSA_NESfrontcover.png,Fishing,Single-player
Blades of Steel,https://en.wikipedia.org/wiki/Blades_of_Steel,Konami,Konami,Konami,December 1988,"November 23, 1990",https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Blades_of_Steel_cover.png/220px-Blades_of_Steel_cover.png,Sports,"Single-player, multiplayer"
Blaster Master,https://en.wikipedia.org/wiki/Blaster_Master_(video_game),Sunsoft,Sunsoft,Sunsoft,November 1988,"April 25, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Blaster_Master_boxart.jpg/220px-Blaster_Master_boxart.jpg,"Platform, run and gun, Metroidvania",Single-player
The Blue Marlin,https://en.wikipedia.org/wiki/The_Blue_Marlin,Hot-B,Hot-B,Unreleased,July 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/The_blue_marlin_nes_box_art.jpg/220px-The_blue_marlin_nes_box_art.jpg,Fishing,Single-player
The Blues Brothers,https://en.wikipedia.org/wiki/The_Blues_Brothers_(video_game),Titus Software,Titus Software,Titus Software,September 1992,1992,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/The_Blues_Brothers_%28video_game%29_intro_screen.png/220px-The_Blues_Brothers_%28video_game%29_intro_screen.png,Platform,Single-player2-player cooperative
Bo Jackson Baseball,https://en.wikipedia.org/wiki/Bo_Jackson_Baseball,Beam Software,Data East,Unreleased,October 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Bo_Jackson_Baseball_Coverart.png/220px-Bo_Jackson_Baseball_Coverart.png,Sports,"Single-player, Multiplayer"
Bomberman,https://en.wikipedia.org/wiki/Bomberman_(1983_video_game),Hudson Soft,Hudson Soft,Unreleased,January 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/BombermanCover.jpg/220px-BombermanCover.jpg,"Arcade, maze, strategy",Single player
